candidate_id,bid_volume,record_type,source_page,dedup_status,dedup_status_label,enterprise,doc_owner,source_domain,target_library,target_library_label,evidence_type,evidence_type_label,product_families,material_category,applicable_volumes,applicable_sections,origin_type,validity_status,sensitivity,sensitivity_label,quality_tier,quality_tier_label,review_status,review_status_label,title,source_display_name,source_document_name,category_label,description,tags,caption_policy,formal_caption,evidence_bundle_id,manual_review_required,approved_candidate,ingestion_eligible,ingestion_action,ingestion_block_reason,classification_confidence,source_file,source_section,content_sha256,media_sha256
technical-fact-0001,technical,fact_candidate,1,fact_conflict,事实冲突,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,project_context,历史项目上下文,[],泰昌企业资料,"[""技术标""]","[""未归入章节""]",uncertain,project_conflict_check_required,internal,企业内部资料,restricted,受限资料,rejected_conflict,事实冲突，禁止复用,泰昌历史项目上下文历史候选第1页,泰昌技术补充文件,泰昌技术补充文件,历史项目上下文,来源于泰昌技术补充文件，历史位置为“未归入章节”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史项目上下文"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,未归入章节,1da507cb8ca761d8e60d300c90d82705f6b7d5fdcecbced2456de38fa79e2b3c,
technical-media-0001,technical,media,1,possible_visual_duplicate,视觉疑似重复,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,product_library,产品库资料,enterprise_evidence,企业证明材料,[],泰昌企业资料,"[""技术标""]","[""未归入章节""]",uncertain,needs_review,internal,企业内部资料,review_only,仅限人工复核,needs_manual_review,需要人工复核,泰昌企业证明材料历史候选第1页,泰昌技术补充文件,泰昌技术补充文件,企业证明材料,来源于泰昌技术补充文件，历史位置为“未归入章节”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""企业证明材料"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,taichang-visual-review-2137b36704aaafab504a,True,False,False,blocked,尚未通过P0-06人工批准,0.45,assets/template_words/技术补充文件.docx,未归入章节,da2418eb84c5b466c62f92b2c08defbee1aa3eb16f09ef3d414132378b0987b2,da2418eb84c5b466c62f92b2c08defbee1aa3eb16f09ef3d414132378b0987b2
technical-chapter-001,technical,chapter,4,new,未发现重复，仍需审核,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,historical_structure_reference,历史目录结构参考,[],泰昌企业资料,"[""技术标""]","[""技术偏差表""]",tender_mandated,needs_review,internal,企业内部资料,review_only,仅限人工复核,not_asset_reference,非资产结构参考,泰昌技术标历史目录参考：技术偏差表,泰昌技术补充文件,泰昌技术补充文件,历史目录结构参考,来源于泰昌技术补充文件，历史位置为“技术偏差表”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史目录结构参考"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（一）技术偏差表,161966403baa284ec56931c415cfe5e681336f94316c32e4c3d02d90629d3960,
technical-chapter-002,technical,chapter,4,new,未发现重复，仍需审核,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,historical_structure_reference,历史目录结构参考,[],泰昌企业资料,"[""技术标""]","[""技术偏差表/1.技术偏差表""]",tender_mandated,needs_review,internal,企业内部资料,review_only,仅限人工复核,not_asset_reference,非资产结构参考,泰昌技术标历史目录参考：技术偏差表/1.技术偏差表,泰昌技术补充文件,泰昌技术补充文件,历史目录结构参考,来源于泰昌技术补充文件，历史位置为“技术偏差表/1.技术偏差表”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史目录结构参考"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（一）技术偏差表/1.技术偏差表,32230dba9a14b3f20aacc1c9a9727fcc6160090923f1c304600ebc4ce09e6423,
technical-fact-0002,technical,fact_candidate,4,fact_conflict,事实冲突,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,project_context,历史项目上下文,[],泰昌企业资料,"[""技术标""]","[""技术偏差表/1.技术偏差表""]",tender_mandated,project_conflict_check_required,internal,企业内部资料,restricted,受限资料,rejected_conflict,事实冲突，禁止复用,泰昌历史项目上下文历史候选第4页,泰昌技术补充文件,泰昌技术补充文件,历史项目上下文,来源于泰昌技术补充文件，历史位置为“技术偏差表/1.技术偏差表”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史项目上下文"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（一）技术偏差表/1.技术偏差表,738feab51fe7e166450efd6b11cc5871ec72e2ba8f1234721608c3582c2b4a70,
technical-fact-0003,technical,fact_candidate,4,fact_conflict,事实冲突,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,project_context,历史项目上下文,[],泰昌企业资料,"[""技术标""]","[""技术偏差表/1.技术偏差表""]",tender_mandated,project_conflict_check_required,internal,企业内部资料,restricted,受限资料,rejected_conflict,事实冲突，禁止复用,泰昌历史项目上下文历史候选第4页,泰昌技术补充文件,泰昌技术补充文件,历史项目上下文,来源于泰昌技术补充文件，历史位置为“技术偏差表/1.技术偏差表”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史项目上下文"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（一）技术偏差表/1.技术偏差表,1da507cb8ca761d8e60d300c90d82705f6b7d5fdcecbced2456de38fa79e2b3c,
technical-fact-0004,technical,fact_candidate,4,new,未发现重复，仍需审核,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,product_library,产品库资料,product_parameter_table,产品参数表,"[""电缆保护管通用""]",电缆保护管,"[""技术标""]","[""技术偏差表/1.技术偏差表""]",tender_mandated,coverage_unconfirmed,internal,企业内部资料,review_only,仅限人工复核,needs_customer_confirmation,需要客户确认,泰昌产品参数表历史候选第4页,泰昌技术补充文件,泰昌技术补充文件,产品参数表,来源于泰昌技术补充文件，历史位置为“技术偏差表/1.技术偏差表”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""产品参数表"", ""历史标书候选"", ""技术标"", ""电缆保护管通用""]",suppressed_document_page_caption,,,True,False,False,blocked,尚未通过P0-06人工批准,0.85,assets/template_words/技术补充文件.docx,（一）技术偏差表/1.技术偏差表,1e0dbd60795ef883369a0e31cb3f16ad10beca7cfe04248e2b9c2bacdff0ddef,
technical-table-001,technical,table,4,new,未发现重复，仍需审核,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,product_library,产品库资料,product_parameter_table,产品参数表,"[""电缆保护管通用""]",电缆保护管,"[""技术标""]","[""技术偏差表/1.技术偏差表""]",tender_mandated,needs_review,internal,企业内部资料,review_only,仅限人工复核,not_asset_reference,非资产结构参考,泰昌技术标历史表单参考：技术偏差表/1.技术偏差表,泰昌技术补充文件,泰昌技术补充文件,产品参数表,来源于泰昌技术补充文件，历史位置为“技术偏差表/1.技术偏差表”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""产品参数表"", ""历史标书候选"", ""技术标"", ""电缆保护管通用""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,0.9,assets/template_words/技术补充文件.docx,（一）技术偏差表/1.技术偏差表,900f2c33ae86c7da7111bb86b3b13f4f0930bd34271afa904056c87159b9b531,
technical-chapter-003,technical,chapter,5,new,未发现重复，仍需审核,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,historical_structure_reference,历史目录结构参考,[],泰昌企业资料,"[""技术标""]","[""专项投标文件""]",tender_mandated,needs_review,internal,企业内部资料,review_only,仅限人工复核,not_asset_reference,非资产结构参考,泰昌技术标历史目录参考：专项投标文件,泰昌技术补充文件,泰昌技术补充文件,历史目录结构参考,来源于泰昌技术补充文件，历史位置为“专项投标文件”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史目录结构参考"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（二）专项投标文件,59478a79ce1fa94919b44c147d813e5dbf02662dc9dbcef22807b3e2d5abbfe5,
technical-chapter-004,technical,chapter,5,new,未发现重复，仍需审核,河北泰昌电力器材科技有限公司,河北泰昌电力器材科技有限公司,mixed_historical_bid,reference_template_library,历史参考资料,historical_structure_reference,历史目录结构参考,[],泰昌企业资料,"[""技术标""]","[""专项投标文件/1.业绩文件""]",tender_mandated,needs_review,internal,企业内部资料,review_only,仅限人工复核,not_asset_reference,非资产结构参考,泰昌技术标历史目录参考：专项投标文件/1.业绩文件,泰昌技术补充文件,泰昌技术补充文件,历史目录结构参考,来源于泰昌技术补充文件，历史位置为“专项投标文件/1.业绩文件”。当前仅用于泰昌资料人工复核，未获准进入正式标书。,"[""泰昌"", ""历史目录结构参考"", ""历史标书候选"", ""技术标""]",suppressed_document_page_caption,,,False,False,False,blocked,尚未通过P0-06人工批准,1.0,assets/template_words/技术补充文件.docx,（二）专项投标文件/1.业绩文件,25cf18807d7ab589d998e7d739f1e8e9c41b5883b5a26859f758db8e2b13a33f,
