evidence_bundle_id,bundle_title,bundle_kind,business_key,evidence_type_label,target_library_label,product_families,applicable_sections,page_count,page_sequence_complete,allowed_for_bid,usage_status,warnings
taichang-evidence-8c0003b8a585e22b7525,泰昌2023年审计报告,audit_report,audit-year:2023,审计报告,资信库,[],"[""商务标/财务状况""]",19,True,False,conditional_tender_year,"[""须按本次招标文件要求的审计年度选择，不得默认全部插入""]"
taichang-evidence-355a5e62909cf7b6be51,泰昌2024年审计报告,audit_report,audit-year:2024,审计报告,资信库,[],"[""商务标/财务状况""]",29,True,False,conditional_tender_year,"[""须按本次招标文件要求的审计年度选择，不得默认全部插入""]"
taichang-evidence-5238d1459fcfe2a13ced,泰昌2025年审计报告,audit_report,audit-year:2025,审计报告,资信库,[],"[""商务标/财务状况""]",19,True,False,conditional_tender_year,"[""须按本次招标文件要求的审计年度选择，不得默认全部插入""]"
taichang-evidence-76ac5c6984a28811742d,泰昌营业执照,business_license,uscc:91130607056539515C,营业执照,资信库,[],"[""商务标/投标人基本情况"", ""商务标/资格证明""]",1,True,True,eligible_from_existing_asset_policy,[]
taichang-evidence-9fdd36654ca483e6a069,泰昌微机控制电子万能试验机试验设备及校准资料,calibration_certificate,equipment:微机控制电子万能试验机,试验设备校准资料,产品库,[],"[""技术标/试验检测能力"", ""商务标/补充证明""]",8,True,False,review_required_validity,"[""校准/检定有效期尚未结构化，正式投标前必须复核""]"
taichang-evidence-508e8e613ca60ada061b,泰昌热变形、维卡软化点温度测定仪试验设备及校准资料,calibration_certificate,equipment:热变形、维卡软化点温度测定仪,试验设备校准资料,产品库,[],"[""技术标/试验检测能力"", ""商务标/补充证明""]",9,True,False,review_required_validity,"[""校准/检定有效期尚未结构化，正式投标前必须复核""]"
taichang-evidence-8eabd69844ab6ab91f02,泰昌熔体流动速率仪试验设备及校准资料,calibration_certificate,equipment:熔体流动速率仪,试验设备校准资料,产品库,[],"[""技术标/试验检测能力"", ""商务标/补充证明""]",7,True,False,review_required_validity,"[""校准/检定有效期尚未结构化，正式投标前必须复核""]"
taichang-evidence-f0f800fd3a615899dbfd,泰昌电子天平试验设备及校准资料,calibration_certificate,equipment:电子天平,试验设备校准资料,产品库,[],"[""技术标/试验检测能力"", ""商务标/补充证明""]",6,True,False,review_required_validity,"[""校准/检定有效期尚未结构化，正式投标前必须复核""]"
taichang-evidence-96036c84ed4ce31e0ad4,泰昌电子拉力试验机试验设备及校准资料,calibration_certificate,equipment:电子拉力试验机,试验设备校准资料,产品库,[],"[""技术标/试验检测能力"", ""商务标/补充证明""]",8,True,False,review_required_validity,"[""校准/检定有效期尚未结构化，正式投标前必须复核""]"
taichang-evidence-2bf8bf27b27d8ce407cc,泰昌锤击试验装置试验设备及校准资料,calibration_certificate,equipment:锤击试验装置,试验设备校准资料,产品库,[],"[""技术标/试验检测能力"", ""商务标/补充证明""]",8,True,False,review_required_validity,"[""校准/检定有效期尚未结构化，正式投标前必须复核""]"
taichang-evidence-5233af6e2133a8e25641,泰昌MPP电缆保护管检验报告,inspection_report,report:2024100312005501712,检验报告,产品库,"[""MPP电缆保护管""]","[""技术标/技术响应"", ""商务标/资格证明""]",5,True,True,eligible_from_existing_asset_policy,[]
taichang-evidence-4c9d64c00d89cb7b78f2,泰昌CPVC电缆保护管检验报告,inspection_report,report:2024100312005501713,检验报告,产品库,"[""CPVC电缆保护管""]","[""技术标/技术响应"", ""商务标/资格证明""]",5,True,True,eligible_from_existing_asset_policy,[]
taichang-evidence-792812eabf8d9567854f,泰昌环境管理体系认证证书,management_system_certificate,management-system:environment,管理体系认证证书,资信库,[],"[""商务标/管理体系认证"", ""技术标/质量管理""]",2,True,False,review_required_validity,"[""证书有效期尚未进入结构化台账，正式投标前必须复核""]"
taichang-evidence-68219d67c5feb3ed96a4,泰昌职业健康安全管理体系认证证书,management_system_certificate,management-system:ohs,管理体系认证证书,资信库,[],"[""商务标/管理体系认证"", ""技术标/质量管理""]",3,True,False,blocked_expired,"[""职业健康安全管理体系证书已于2026-06-18到期，须补充有效证书""]"
taichang-evidence-c37bef6d5bdbe4f32cb1,泰昌质量管理体系认证证书,management_system_certificate,management-system:quality,管理体系认证证书,资信库,[],"[""商务标/管理体系认证"", ""技术标/质量管理""]",3,True,False,review_required_validity,"[""证书有效期尚未进入结构化台账，正式投标前必须复核""]"
taichang-evidence-68f40342eb06721cacc8,泰昌国网天津2022年电缆保护管项目业绩,project_performance,project:taichang-tianjin-2022-0322AB-package-2,项目业绩,资信库,"[""CPVC电缆保护管"", ""MPP电缆保护管""]","[""商务标/项目业绩"", ""技术标/供货业绩""]",17,True,True,eligible_from_existing_asset_policy,[]
