ingestion_batch_id,enterprise,doc_owner,source_domain,evidence_type,target_library,source_file,markdown_path,report_no,sample_name,product_family,specification_model,nominal_inner_diameter,inspection_basis,inspection_conclusion,table_index,source_page,row_number,sequence_no,parameter_category,parameter_name,unit,standard_requirement,inspection_result,single_conclusion,value_source,qa_reference_scope,row_data
customer_liaoning_taichang_20260606_p0,泰昌,河北泰昌电力器材科技有限公司,enterprise_fact,inspection_report,product_library,rag_seed/power_grid_resources/05_enterprise_documents/01_泰昌MVP试点企业资料/extracted/泰昌资料/3检验报告/CPVC电缆保护管检验报告内径250.pdf,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/mineru_batch_04/CPVC电缆保护管检验报告内径250_ff3b09/extract/full.md,2024100312005501713,CPVC电缆保护管,CPVC电缆保护管,DS 250×15×6000 SN16 PVC-C,250,GB/T 8806-2008;QB/T 2803-2006;GB/T 1033.1-2008;GB/T 9647-2015;GB/T 14152-2001;YD/T 841.1-2016;GB/T 8802-2001;GB/T 6671-2001;DL/T 802.1-2023;GB/T 39379-2020,"依据GB/T 8806-2008、QB/T 2803-2006等标准检验,所检项目符合DL/T 802.3-2023标准要求,该样品合格。(检验检测专用章)",1,3,2,1,颜色,颜色,****,导管颜色应均匀一致,符合要求,合格,inspection_report_measured_value,liaoning_tender_parameters_for_extraction_qa_only,"{""expanded_row"": [""1"", ""颜色"", ""颜色"", ""****"", ""导管颜色应均匀一致"", ""符合要求"", ""合格""]}"
customer_liaoning_taichang_20260606_p0,泰昌,河北泰昌电力器材科技有限公司,enterprise_fact,inspection_report,product_library,rag_seed/power_grid_resources/05_enterprise_documents/01_泰昌MVP试点企业资料/extracted/泰昌资料/3检验报告/CPVC电缆保护管检验报告内径250.pdf,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/mineru_batch_04/CPVC电缆保护管检验报告内径250_ff3b09/extract/full.md,2024100312005501713,CPVC电缆保护管,CPVC电缆保护管,DS 250×15×6000 SN16 PVC-C,250,GB/T 8806-2008;QB/T 2803-2006;GB/T 1033.1-2008;GB/T 9647-2015;GB/T 14152-2001;YD/T 841.1-2016;GB/T 8802-2001;GB/T 6671-2001;DL/T 802.1-2023;GB/T 39379-2020,"依据GB/T 8806-2008、QB/T 2803-2006等标准检验,所检项目符合DL/T 802.3-2023标准要求,该样品合格。(检验检测专用章)",1,3,3,2,外观,外观,****,导管内外壁不应有气泡、裂口和明显的痕纹、凹陷、杂质、分解变色线及色泽不均等缺陷;导管内壁应光滑、平整;导管端面应切割平整并与轴线垂直。,符合要求,合格,inspection_report_measured_value,liaoning_tender_parameters_for_extraction_qa_only,"{""expanded_row"": [""2"", ""外观"", ""外观"", ""****"", ""导管内外壁不应有气泡、裂口和明显的痕纹、凹陷、杂质、分解变色线及色泽不均等缺陷;导管内壁应光滑、平整;导管端面应切割平整并与轴线垂直。"", ""符合要求"", ""合格""]}"
customer_liaoning_taichang_20260606_p0,泰昌,河北泰昌电力器材科技有限公司,enterprise_fact,inspection_report,product_library,rag_seed/power_grid_resources/05_enterprise_documents/01_泰昌MVP试点企业资料/extracted/泰昌资料/3检验报告/CPVC电缆保护管检验报告内径250.pdf,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/mineru_batch_04/CPVC电缆保护管检验报告内径250_ff3b09/extract/full.md,2024100312005501713,CPVC电缆保护管,CPVC电缆保护管,DS 250×15×6000 SN16 PVC-C,250,GB/T 8806-2008;QB/T 2803-2006;GB/T 1033.1-2008;GB/T 9647-2015;GB/T 14152-2001;YD/T 841.1-2016;GB/T 8802-2001;GB/T 6671-2001;DL/T 802.1-2023;GB/T 39379-2020,"依据GB/T 8806-2008、QB/T 2803-2006等标准检验,所检项目符合DL/T 802.3-2023标准要求,该样品合格。(检验检测专用章)",1,3,4,3,尺寸,尺寸-长度,mm,≥6000,6006,合格,inspection_report_measured_value,liaoning_tender_parameters_for_extraction_qa_only,"{""expanded_row"": [""3"", ""尺寸"", ""长度"", ""mm"", ""≥6000"", ""6006"", ""合格""]}"
customer_liaoning_taichang_20260606_p0,泰昌,河北泰昌电力器材科技有限公司,enterprise_fact,inspection_report,product_library,rag_seed/power_grid_resources/05_enterprise_documents/01_泰昌MVP试点企业资料/extracted/泰昌资料/3检验报告/CPVC电缆保护管检验报告内径250.pdf,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/mineru_batch_04/CPVC电缆保护管检验报告内径250_ff3b09/extract/full.md,2024100312005501713,CPVC电缆保护管,CPVC电缆保护管,DS 250×15×6000 SN16 PVC-C,250,GB/T 8806-2008;QB/T 2803-2006;GB/T 1033.1-2008;GB/T 9647-2015;GB/T 14152-2001;YD/T 841.1-2016;GB/T 8802-2001;GB/T 6671-2001;DL/T 802.1-2023;GB/T 39379-2020,"依据GB/T 8806-2008、QB/T 2803-2006等标准检验,所检项目符合DL/T 802.3-2023标准要求,该样品合格。(检验检测专用章)",1,3,5,3,尺寸,尺寸-平均内径,mm,250.0~251.5,250.2~250.4,合格,inspection_report_measured_value,liaoning_tender_parameters_for_extraction_qa_only,"{""expanded_row"": [""3"", ""尺寸"", ""平均内径"", ""mm"", ""250.0~251.5"", ""250.2~250.4"", ""合格""]}"
customer_liaoning_taichang_20260606_p0,泰昌,河北泰昌电力器材科技有限公司,enterprise_fact,inspection_report,product_library,rag_seed/power_grid_resources/05_enterprise_documents/01_泰昌MVP试点企业资料/extracted/泰昌资料/3检验报告/CPVC电缆保护管检验报告内径250.pdf,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/mineru_batch_04/CPVC电缆保护管检验报告内径250_ff3b09/extract/full.md,2024100312005501713,CPVC电缆保护管,CPVC电缆保护管,DS 250×15×6000 SN16 PVC-C,250,GB/T 8806-2008;QB/T 2803-2006;GB/T 1033.1-2008;GB/T 9647-2015;GB/T 14152-2001;YD/T 841.1-2016;GB/T 8802-2001;GB/T 6671-2001;DL/T 802.1-2023;GB/T 39379-2020,"依据GB/T 8806-2008、QB/T 2803-2006等标准检验,所检项目符合DL/T 802.3-2023标准要求,该样品合格。(检验检测专用章)",1,3,6,3,尺寸,尺寸-壁厚,mm,15_0^+1.8,15.2~15.3,合格,inspection_report_measured_value,liaoning_tender_parameters_for_extraction_qa_only,"{""expanded_row"": [""3"", ""尺寸"", ""壁厚"", ""mm"", ""15_0^+1.8"", ""15.2~15.3"", ""合格""]}"
customer_liaoning_taichang_20260606_p0,泰昌,河北泰昌电力器材科技有限公司,enterprise_fact,inspection_report,product_library,rag_seed/power_grid_resources/05_enterprise_documents/01_泰昌MVP试点企业资料/extracted/泰昌资料/3检验报告/CPVC电缆保护管检验报告内径250.pdf,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/mineru_batch_04/CPVC电缆保护管检验报告内径250_ff3b09/extract/full.md,2024100312005501713,CPVC电缆保护管,CPVC电缆保护管,DS 250×15×6000 SN16 PVC-C,250,GB/T 8806-2008;QB/T 2803-2006;GB/T 1033.1-2008;GB/T 9647-2015;GB/T 14152-2001;YD/T 841.1-2016;GB/T 8802-2001;GB/T 6671-2001;DL/T 802.1-2023;GB/T 39379-2020,"依据GB/T 8806-2008、QB/T 2803-2006等标准检验,所检项目符合DL/T 802.3-2023标准要求,该样品合格。(检验检测专用章)",1,3,7,3,尺寸,尺寸-不圆度,mm,≤4.2,0.4~0.6,合格,inspection_report_measured_value,liaoning_tender_parameters_for_extraction_qa_only,"{""expanded_row"": [""3"", ""尺寸"", ""不圆度"", ""mm"", ""≤4.2"", ""0.4~0.6"", ""合格""]}"
customer_liaoning_taichang_20260606_p0,泰昌,河北泰昌电力器材科技有限公司,enterprise_fact,inspection_report,product_library,rag_seed/power_grid_resources/05_enterprise_documents/01_泰昌MVP试点企业资料/extracted/泰昌资料/3检验报告/CPVC电缆保护管检验报告内径250.pdf,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/mineru_batch_04/CPVC电缆保护管检验报告内径250_ff3b09/extract/full.md,2024100312005501713,CPVC电缆保护管,CPVC电缆保护管,DS 250×15×6000 SN16 PVC-C,250,GB/T 8806-2008;QB/T 2803-2006;GB/T 1033.1-2008;GB/T 9647-2015;GB/T 14152-2001;YD/T 841.1-2016;GB/T 8802-2001;GB/T 6671-2001;DL/T 802.1-2023;GB/T 39379-2020,"依据GB/T 8806-2008、QB/T 2803-2006等标准检验,所检项目符合DL/T 802.3-2023标准要求,该样品合格。(检验检测专用章)",1,3,8,3,尺寸,尺寸-承口平均内径,mm,280.0~281.5,280.5,合格,inspection_report_measured_value,liaoning_tender_parameters_for_extraction_qa_only,"{""expanded_row"": [""3"", ""尺寸"", ""承口平均内径"", ""mm"", ""280.0~281.5"", ""280.5"", ""合格""]}"
customer_liaoning_taichang_20260606_p0,泰昌,河北泰昌电力器材科技有限公司,enterprise_fact,inspection_report,product_library,rag_seed/power_grid_resources/05_enterprise_documents/01_泰昌MVP试点企业资料/extracted/泰昌资料/3检验报告/CPVC电缆保护管检验报告内径250.pdf,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/mineru_batch_04/CPVC电缆保护管检验报告内径250_ff3b09/extract/full.md,2024100312005501713,CPVC电缆保护管,CPVC电缆保护管,DS 250×15×6000 SN16 PVC-C,250,GB/T 8806-2008;QB/T 2803-2006;GB/T 1033.1-2008;GB/T 9647-2015;GB/T 14152-2001;YD/T 841.1-2016;GB/T 8802-2001;GB/T 6671-2001;DL/T 802.1-2023;GB/T 39379-2020,"依据GB/T 8806-2008、QB/T 2803-2006等标准检验,所检项目符合DL/T 802.3-2023标准要求,该样品合格。(检验检测专用章)",1,3,9,3,尺寸,尺寸-承口壁厚,mm,≥12,15.1~15.3,合格,inspection_report_measured_value,liaoning_tender_parameters_for_extraction_qa_only,"{""expanded_row"": [""3"", ""尺寸"", ""承口壁厚"", ""mm"", ""≥12"", ""15.1~15.3"", ""合格""]}"
customer_liaoning_taichang_20260606_p0,泰昌,河北泰昌电力器材科技有限公司,enterprise_fact,inspection_report,product_library,rag_seed/power_grid_resources/05_enterprise_documents/01_泰昌MVP试点企业资料/extracted/泰昌资料/3检验报告/CPVC电缆保护管检验报告内径250.pdf,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/mineru_batch_04/CPVC电缆保护管检验报告内径250_ff3b09/extract/full.md,2024100312005501713,CPVC电缆保护管,CPVC电缆保护管,DS 250×15×6000 SN16 PVC-C,250,GB/T 8806-2008;QB/T 2803-2006;GB/T 1033.1-2008;GB/T 9647-2015;GB/T 14152-2001;YD/T 841.1-2016;GB/T 8802-2001;GB/T 6671-2001;DL/T 802.1-2023;GB/T 39379-2020,"依据GB/T 8806-2008、QB/T 2803-2006等标准检验,所检项目符合DL/T 802.3-2023标准要求,该样品合格。(检验检测专用章)",1,3,10,3,尺寸,尺寸-承口最小深度,mm,≥120,120.8,合格,inspection_report_measured_value,liaoning_tender_parameters_for_extraction_qa_only,"{""expanded_row"": [""3"", ""尺寸"", ""承口最小深度"", ""mm"", ""≥120"", ""120.8"", ""合格""]}"
customer_liaoning_taichang_20260606_p0,泰昌,河北泰昌电力器材科技有限公司,enterprise_fact,inspection_report,product_library,rag_seed/power_grid_resources/05_enterprise_documents/01_泰昌MVP试点企业资料/extracted/泰昌资料/3检验报告/CPVC电缆保护管检验报告内径250.pdf,parsed_outputs/power_grid_customer_corpus/customer_liaoning_taichang_20260606_p0/mineru_batch_04/CPVC电缆保护管检验报告内径250_ff3b09/extract/full.md,2024100312005501713,CPVC电缆保护管,CPVC电缆保护管,DS 250×15×6000 SN16 PVC-C,250,GB/T 8806-2008;QB/T 2803-2006;GB/T 1033.1-2008;GB/T 9647-2015;GB/T 14152-2001;YD/T 841.1-2016;GB/T 8802-2001;GB/T 6671-2001;DL/T 802.1-2023;GB/T 39379-2020,"依据GB/T 8806-2008、QB/T 2803-2006等标准检验,所检项目符合DL/T 802.3-2023标准要求,该样品合格。(检验检测专用章)",1,3,11,3,尺寸,尺寸-弯曲度,%,≤0.5,0.3,合格,inspection_report_measured_value,liaoning_tender_parameters_for_extraction_qa_only,"{""expanded_row"": [""3"", ""尺寸"", ""弯曲度"", ""%"", ""≤0.5"", ""0.3"", ""合格""]}"
