title,category,doc_type,source_org,source_url,file_path,tags,downloaded_at,sha256,status,error
中华人民共和国招标投标法,02_policy_regulations,法律,中华人民共和国教育部政府门户网站转载,https://www.moe.gov.cn/jyb_xwfb/xw_zt/moe_357/s3581/moe_2698/moe_2825/tnull_53734.html,02_policy_regulations/01_中华人民共和国招标投标法_05d312ae.md,"招标投标,上位法,招标,投标,开标,评标,中标",2026-05-20T03:19:40.471908+00:00,79b095b970d62c946be2b8f9288c257393a0df8f023521be6713dd7d72801e77,downloaded,
中华人民共和国招标投标法实施条例,02_policy_regulations,行政法规,中国政府网/国务院公报,https://www.gov.cn/gongbao/content/2019/content_5468831.htm,02_policy_regulations/02_中华人民共和国招标投标法实施条例_8e59098f.md,"招标投标,资格预审,评标,否决投标,投诉处理",2026-05-20T03:19:40.471908+00:00,5b2fbff4aacd28b577a9ee9c8b33cebdda585f0440d1813a6e2efe0c7636c74d,downloaded,
必须招标的工程项目规定,02_policy_regulations,部门规章PDF,国家发展改革委,https://www.ndrc.gov.cn/fzggw/jgsj/fgs/sjdt/201803/W020190910481507889431.pdf,02_policy_regulations/03_必须招标的工程项目规定_a8122eb9.pdf,"必须招标,工程项目,规模标准,能源项目",2026-05-20T03:19:40.471908+00:00,a7e9ba76e5179dfba76686808756664d23c490d0c8b796736e87704083a36628,downloaded,
必须招标的基础基础设施和公用事业项目范围规定,02_policy_regulations,规范性文件,中国政府采购网/国家发展改革委,https://www.ccgp.gov.cn/zcfg/bwfile/201806/t20180612_10082983.htm,02_policy_regulations/04_必须招标的基础基础设施和公用事业项目范围规定_c5725757.md,"必须招标,基础设施,公用事业,电力,新能源",2026-05-20T03:19:40.471908+00:00,4fd90eae8b8acf337effb62fc1f17b972d58626427913b5ff4c609b79740e7d1,downloaded,
中华人民共和国电力法,02_policy_regulations,法律PDF,烟台市政府门户网站公开附件,https://www.yantai.gov.cn/api-gateway/jpaas-web-server/front/document/file-download?fileUrl=/cms_files/jcms1/web1/site/attach/0/af275af37e4743c18db3091daaa791e4.pdf,02_policy_regulations/05_中华人民共和国电力法_1136583e.pdf,"电力建设,电力供应,电力设施保护,电力监督",2026-05-20T03:19:40.471908+00:00,9e0643a69cf5d8871a4b0a5aac3abe1c916b438a9817b166c609b577d213d2b9,downloaded,
中华人民共和国能源法,02_policy_regulations,法律,国家能源局转载中国人大网,https://www.nea.gov.cn/2024-11/09/c_1310787187.htm,02_policy_regulations/06_中华人民共和国能源法_50bb2340.md,"能源,电力,新型能源体系,能源安全,绿色低碳",2026-05-20T03:19:40.471908+00:00,2ef907f2f5c048f469d489347a878e51df71cd132692cad53b500e5ab6fe5bd0,downloaded,
电力建设工程施工安全监督管理办法,02_policy_regulations,部门规章PDF,国家能源局电力可靠性管理 and 工程质量监督中心,https://prpq.nea.gov.cn/uploads/file1/20180115/5a5c044624508.pdf,02_policy_regulations/07_电力建设工程施工安全监督管理办法_8203f3eb.pdf,"电力建设,施工安全,安全生产费用,分包管理",2026-05-20T03:19:40.471908+00:00,8ebdcfa510fc3430b5606d21e19037e7340d6caee94ab58bf1d0c017ba2cee53,downloaded,
电力建设工程质量监督管理暂行规定,02_policy_regulations,规范性文件,国家能源局,https://zfxxgk.nea.gov.cn/2023-05/31/c_1310725750.htm,02_policy_regulations/08_电力建设工程质量监督管理暂行规定_962ce818.md,"电力建设,质量监督,质监机构,工程质量",2026-05-20T03:19:40.471908+00:00,06d2f28fbd6c878c952a4c20778f354bf7b5f6ab421d0b1042569070a1988a8d,downloaded,
电力建设工程备案管理规定,02_policy_regulations,规范性文件,国家能源局,https://zfxxgk.nea.gov.cn/auto79/201307/t20130708_1650.htm,02_policy_regulations/09_电力建设工程备案管理规定_c19a05cc.md,"电力建设,备案,招标时间,施工合同",2026-05-20T03:19:40.471908+00:00,c4457265169666e0c4bbd9b1cb5efdf8edfc8ce7ed218cde61ca5f9a92b5db29,downloaded,
关于全面推行电力工程施工监理招投标工作的通知,02_policy_regulations,行业招投标文件,国家能源局,https://www.nea.gov.cn/2012-01/04/c_131262641.htm,02_policy_regulations/10_关于全面推行电力工程施工监理招投标工作的通知_50f00113.md,"电力工程,施工招标,监理招标,招标文件内容,评标办法",2026-05-20T03:19:40.471908+00:00,4ee30153d3707cb4af63479f69997a79579bb5e71b51dc9a5d986adfc2ed1b51,downloaded,
电力工程设计招标投标管理规定,02_policy_regulations,行业招投标文件,国家能源局,https://www.nea.gov.cn/2011-11/22/c_131262644.htm,02_policy_regulations/11_电力工程设计招标投标管理规定_c84f6ffe.md,"电力工程,设计招标,资格条件,评标办法,设计投标",2026-05-20T03:19:40.471908+00:00,d0f2929abe4ee05533bc4bd83a54400d565cc51bbfbe22b449537b36069d118d,downloaded,
电力建设工程现行管理文件及技术标准名录2019版,03_standards_specs,标准目录PDF,国家能源局电力可靠性管理 and 工程质量监督中心,https://prpq.nea.gov.cn/uploads/file1/20240313/65f166e0071c3.pdf,03_standards_specs/12_电力建设工程现行管理文件及技术标准名录2019版_5647db01.pdf,"电力建设,技术标准,质量监督,施工管理,输变电,火电,水电",2026-05-20T03:19:40.471908+00:00,3f8f184c55af414078da2c7803366cfe41c4d97c3139e7fefef1eedf2505cfff,downloaded,
国网江苏苏州供电分公司授权物资竞争性谈判采购公告示例一,01_tender_documents,国网采购公告,国网江苏省电力工程咨询有限公司地市采购代理平台,https://bid.js.sgcc.com.cn/hyzb/zxylFile/fd44f2d631ce4a7ab03016dc99f1acce/fd44f2d631ce4a7ab03016dc99f1acce.html,01_tender_documents/13_国网江苏苏州供电分公司授权物资竞争性谈判采购公告示例一_e3e59071.md,"国家电网,ECP2.0,竞争性谈判,供应商注册,CA证书,采购文件",2026-05-20T03:19:40.471908+00:00,b1b15535c4de7b958a7e905274f4e3cf01a070a2669082a3d11d4f992da3ff04,downloaded,
国网江苏苏州供电分公司授权物资竞争性谈判采购公告示例二,01_tender_documents,国网采购公告,国网江苏省电力工程咨询有限公司地市采购代理平台,https://bid.js.sgcc.com.cn/hyzb/zxylFile/fb8ca97ff9674fd4bd0ec92a571f8f71/fb8ca97ff9674fd4bd0ec92a571f8f71.html,01_tender_documents/14_国网江苏苏州供电分公司授权物资竞争性谈判采购公告示例二_fd8962eb.md,"国家电网,物资采购,资格要求,供应商不良行为,二轮报价",2026-05-20T03:19:40.471908+00:00,534a2a931fafe2a66e7d27cb6b455c95d51a63c79b2dee61d340f18adf60a350,downloaded,
